SINGH_NFE2L2_TARGETS,DepMap_ID
2753.972293,ACH-000735
2750.8407271634496,ACH-000364
2750.798928,ACH-000675
2748.211615,ACH-000843
2744.832137,ACH-000812
2742.93455525264,ACH-000408
2733.951061,ACH-000502
2727.212913,ACH-001020
2727.087354,ACH-000490
2726.640243,ACH-000660
2726.159366,ACH-000153
2725.128831,ACH-000002
2723.1806944221103,ACH-000388
2721.8146309070603,ACH-000657
2717.544564,ACH-000054
2716.256738,ACH-000346
2715.2292062983497,ACH-000646
2706.773814,ACH-001205
2698.649967,ACH-001196
2697.560374,ACH-000183
2696.8057452614603,ACH-000423
2693.536074,ACH-000189
2689.828207,ACH-000138
2689.32789,ACH-000126
2688.331678,ACH-000157
2685.524025,ACH-000832
2685.1612203317604,ACH-000039
2673.137538,ACH-001032
2671.2835091466395,ACH-001523
2668.7350444007698,ACH-000021
2668.329668,ACH-000034
2662.5991452767803,ACH-000911
2659.932547,ACH-000947
2656.598408,ACH-000741
2653.874234,ACH-000865
2652.52276474622,ACH-000073
2636.88664262924,ACH-000170
2635.668901,ACH-000943
2627.98272,ACH-000805
2624.908792,ACH-000031
2622.1268122635897,ACH-000501
2621.360627,ACH-000584
2619.011899,ACH-000477
2615.061298,ACH-000195
2614.59097,ACH-000256
2611.016032,ACH-000354
2603.143036,ACH-000809
2601.252967,ACH-000218
2592.316871,ACH-000791
2591.307696,ACH-000451
2587.209673,ACH-000762
2586.831146,ACH-000069
2580.262799,ACH-001538
2577.3004286771,ACH-000332
2574.891523,ACH-000680
2565.533698,ACH-000758
2565.512216,ACH-001341
2565.284145,ACH-001396
2562.526414,ACH-000128
2561.000649,ACH-000417
2550.000307,ACH-000750
2545.017461,ACH-000778
2544.443503,ACH-000881
2535.908535,ACH-000518
2528.887423,ACH-000155
2525.37773,ACH-000208
2522.582341,ACH-000057
2522.0878231130105,ACH-000243
2517.698411,ACH-000661
2514.847092,ACH-000567
2510.8754195792103,ACH-000084
2506.751343,ACH-000233
2506.572836,ACH-000281
2503.671769,ACH-000027
2496.9516422240804,ACH-000167
2490.919932,ACH-000578
2489.5200453379803,ACH-001038
2482.126452,ACH-000557
2477.1777067536605,ACH-000118
2476.160235,ACH-000736
2474.587437,ACH-000498
2471.360203,ACH-000228
2459.548833,ACH-000169
2456.878638,ACH-000504
2453.9187796858605,ACH-000326
2453.681985,ACH-000847
2451.9384961949104,ACH-000838
2445.955043,ACH-000113
2442.106996,ACH-000873
2441.9818646802696,ACH-000662
2439.99027086408,ACH-000338
2439.454454,ACH-000212
2439.0947310639003,ACH-001736
2439.0687281395003,ACH-000116
2437.97918096732,ACH-001278
2437.679107,ACH-000524
2429.289078,ACH-000085
2429.224057,ACH-000087
2425.908544,ACH-000461
2416.554675,ACH-000871
2413.779842,ACH-001524
2412.966722,ACH-000271
2401.801116,ACH-000355
2401.24644,ACH-000238
2400.8137234185897,ACH-000776
2398.192361,ACH-000910
2388.392442,ACH-000351
2388.203341,ACH-000245
2380.0697728418104,ACH-001656
2371.397535,ACH-000765
2369.1127023112804,ACH-000052
2367.87647,ACH-000362
2364.0918880930803,ACH-000452
2355.230279,ACH-000190
2353.5969752732503,ACH-000259
2350.910637,ACH-000564
2350.8433297886104,ACH-000168
2350.832956,ACH-001277
2350.17458,ACH-000457
2341.680785,ACH-000606
2334.410593,ACH-000769
2333.471944,ACH-000582
2333.408716,ACH-000984
2330.73252,ACH-000789
2329.196077,ACH-000162
2325.921531,ACH-000050
2323.751466,ACH-000499
2319.4611202236,ACH-000174
2318.136667,ACH-000551
2314.642065795389,ACH-000336
2314.0157704322896,ACH-000313
2313.381224,ACH-000770
2311.4558165085896,ACH-001561
2306.8722205370605,ACH-000616
2304.621514,ACH-000132
2304.239463,ACH-000864
2303.007543,ACH-000093
2296.62371,ACH-000512
2290.957937,ACH-000129
2289.971197,ACH-000771
2287.609098,ACH-000110
2286.47763905848,ACH-001054
2286.22064,ACH-000821
2282.693456,ACH-000289
2280.579355,ACH-000231
2277.390509,ACH-000670
2274.6726130295897,ACH-000283
2269.34448816282,ACH-001035
2268.367047,ACH-000678
2263.927238,ACH-000757
2261.396275,ACH-001329
2259.6784830877696,ACH-000220
2258.59983027954,ACH-000977
2258.287334,ACH-000267
2255.714877,ACH-000077
2250.507091,ACH-000723
2244.0809546817604,ACH-000005
2235.962384,ACH-000302
2234.8384,ACH-000038
2231.03711,ACH-000794
2229.894759,ACH-000363
2228.427368,ACH-000001
2227.49232047364,ACH-000597
